Epoch: 75, G_loss: 4.61673, D_loss: 0.29972, D_fake_mean: 0.07700, D_real_acc: 94.000%, D_fake_acc: 96.000%
Epoch: 76, G_loss: 4.07760, D_loss: 0.33450, D_fake_mean: 0.09107, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 77, G_loss: 4.45498, D_loss: 0.28415, D_fake_mean: 0.07692, D_real_acc: 94.000%, D_fake_acc: 96.000%
Epoch: 78, G_loss: 4.36460, D_loss: 0.31005, D_fake_mean: 0.08301, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 79, G_loss: 4.15929, D_loss: 0.30282, D_fake_mean: 0.08457, D_real_acc: 93.000%, D_fake_acc: 96.000%
Epoch: 80, G_loss: 4.81143, D_loss: 0.22475, D_fake_mean: 0.06325, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 81, G_loss: 4.36012, D_loss: 0.25554, D_fake_mean: 0.07464, D_real_acc: 95.000%, D_fake_acc: 96.000%
Epoch: 82, G_loss: 4.67384, D_loss: 0.21225, D_fake_mean: 0.06295, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 83, G_loss: 5.14305, D_loss: 0.22366, D_fake_mean: 0.05749, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 84, G_loss: 5.19563, D_loss: 0.19298, D_fake_mean: 0.05393, D_real_acc: 96.000%, D_fake_acc: 97.000%
Epoch: 85, G_loss: 5.13833, D_loss: 0.25366, D_fake_mean: 0.06337, D_real_acc: 94.000%, D_fake_acc: 96.000%
Epoch: 86, G_loss: 4.81577, D_loss: 0.23623, D_fake_mean: 0.06219, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 87, G_loss: 4.86629, D_loss: 0.23538, D_fake_mean: 0.06478, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 88, G_loss: 5.06502, D_loss: 0.24434, D_fake_mean: 0.06027, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 89, G_loss: 5.03610, D_loss: 0.24207, D_fake_mean: 0.06158, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 90, G_loss: 4.76123, D_loss: 0.26218, D_fake_mean: 0.07117, D_real_acc: 94.000%, D_fake_acc: 96.000%
Epoch: 91, G_loss: 5.23937, D_loss: 0.21371, D_fake_mean: 0.05275, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 92, G_loss: 5.03982, D_loss: 0.22102, D_fake_mean: 0.06051, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 93, G_loss: 5.16782, D_loss: 0.20226, D_fake_mean: 0.05433, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 94, G_loss: 5.29854, D_loss: 0.23655, D_fake_mean: 0.05683, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 95, G_loss: 5.36277, D_loss: 0.23109, D_fake_mean: 0.05661, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 96, G_loss: 4.86945, D_loss: 0.20511, D_fake_mean: 0.05704, D_real_acc: 96.000%, D_fake_acc: 97.000%
Epoch: 97, G_loss: 5.71435, D_loss: 0.17623, D_fake_mean: 0.04562, D_real_acc: 96.000%, D_fake_acc: 98.000%
Epoch: 98, G_loss: 5.69288, D_loss: 0.16110, D_fake_mean: 0.04076, D_real_acc: 96.000%, D_fake_acc: 98.000%
Epoch: 99, G_loss: 5.66303, D_loss: 0.18464, D_fake_mean: 0.04572, D_real_acc: 96.000%, D_fake_acc: 97.000%
Epoch: 100, G_loss: 5.56258, D_loss: 0.20659, D_fake_mean: 0.05308, D_real_acc: 95.000%, D_fake_acc: 97.000%
Epoch: 101, G_loss: 5.62672, D_loss: 0.17991, D_fake_mean: 0.04531, D_real_acc: 96.000%, D_fake_acc: 98.000%
Epoch: 102, G_loss: 6.49613, D_loss: 0.15541, D_fake_mean: 0.03322, D_real_acc: 97.000%, D_fake_acc: 98.000%
Epoch: 103, G_loss: 6.33514, D_loss: 0.09076, D_fake_mean: 0.02456, D_real_acc: 98.000%, D_fake_acc: 99.000%
Epoch: 104, G_loss: 6.08994, D_loss: 0.14071, D_fake_mean: 0.03415, D_real_acc: 97.000%, D_fake_acc: 98.000%
Epoch: 105, G_loss: 6.14205, D_loss: 0.11608, D_fake_mean: 0.03163, D_real_acc: 97.000%, D_fake_acc: 98.000%
Epoch: 106, G_loss: 6.09112, D_loss: 0.13359, D_fake_mean: 0.03504, D_real_acc: 97.000%, D_fake_acc: 98.000%
Epoch: 107, G_loss: 7.66656, D_loss: 0.07986, D_fake_mean: 0.01896, D_real_acc: 98.000%, D_fake_acc: 99.000%
